,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
1986,179177,소음.진동기사,37,교육학,EDUCATION
1987,186826,생물분류기사,37,교육학,EDUCATION
1990,178952,국가전문자격,37,교육학,EDUCATION
1991,179187,가맹거래사,37,교육학,EDUCATION
1992,179189,가축인공수정사,37,교육학,EDUCATION
1993,179190,간호/조무사,37,교육학,EDUCATION
1994,179191,감정평가사,37,교육학,EDUCATION
1998,181779,검수사,37,교육학,EDUCATION
1999,179195,경비지도사,37,교육학,EDUCATION
2001,179197,공경매사,37,교육학,EDUCATION
2004,179200,관광통역안내사,37,교육학,EDUCATION
2005,179201,관세사,37,교육학,EDUCATION
2006,179202,교통안전관리자,37,교육학,EDUCATION
2007,179203,국내여행안내사,37,교육학,EDUCATION
2008,179204,기관사,37,교육학,EDUCATION
2009,179205,기술지도/행정사,37,교육학,EDUCATION
2010,179206,기업재난관리사,37,교육학,EDUCATION
2011,179207,나무의사,37,교육학,EDUCATION
2012,179208,농산물품질관리사,37,교육학,EDUCATION
2013,179209,동력수상레저기구조종면허,37,교육학,EDUCATION
2014,188585,동물보건사,37,교육학,EDUCATION
2015,181661,맞춤형화장품조제관리사,37,교육학,EDUCATION
2016,179210,문화재수리기술자,37,교육학,EDUCATION
2017,179211,물류관리사,37,교육학,EDUCATION
2018,179212,물리치료사,37,교육학,EDUCATION
2019,179213,방사선사,37,교육학,EDUCATION
2021,179215,법무사,37,교육학,EDUCATION
2022,179216,변리사,37,교육학,EDUCATION
2023,179217,보건의료정보관리사,37,교육학,EDUCATION
2024,179218,보세사,37,교육학,EDUCATION
2026,179220,보험사,37,교육학,EDUCATION
2027,179221,사회복지사,37,교육학,EDUCATION
2028,179222,산림치유지도사,37,교육학,EDUCATION
2029,179223,산업보건지도사,37,교육학,EDUCATION
2030,179224,산업안전지도사,37,교육학,EDUCATION
2032,179226,소방시설관리사,37,교육학,EDUCATION
2033,179227,소방안전관리자,37,교육학,EDUCATION
2034,179228,소방안전교육사,37,교육학,EDUCATION
2035,179229,소형선박조종사,37,교육학,EDUCATION
2036,179230,손해사정사,37,교육학,EDUCATION
2037,179231,손해평가사,37,교육학,EDUCATION
2038,179232,수면비행선박조종사,37,교육학,EDUCATION
2039,184084,수산물산지경매사,37,교육학,EDUCATION
2040,179233,수산물품질관리사,37,교육학,EDUCATION
2041,182272,수산부류경매사,37,교육학,EDUCATION
2043,179235,안경사,37,교육학,EDUCATION
2044,179236,언어재활사,70,언어,LANGUAGE
2045,179237,영양사,37,교육학,EDUCATION
2046,179238,요양보호사,37,교육학,EDUCATION
2047,179239,운송용조종사,37,교육학,EDUCATION
2048,179240,운항사,37,교육학,EDUCATION
2049,179241,위생사,37,교육학,EDUCATION
