,CID,카테고리명,KDC분류,KDC분류명,GenreEnum
20,53500,뜨개질/퀼트/십자수/바느질,60,예술,ARTS
21,53502,선물포장/리본/비즈,60,예술,ARTS
22,53503,종이접기/종이공예,60,예술,ARTS
66,53532,공예,60,예술,ARTS
67,53568,뜨개질/퀼트/십자수/바느질,60,예술,ARTS
68,53570,선물포장/리본/비즈,60,예술,ARTS
69,53571,종이접기/종이공예,60,예술,ARTS
79,53520,대체의학,51,의학,MEDICINE
92,53573,꽃꽂이,60,예술,ARTS
96,53517,정신건강,51,의학,MEDICINE
97,53518,질병치료와 예방,51,의학,MEDICINE
98,53540,간,51,의학,MEDICINE
99,53541,고혈압,51,의학,MEDICINE
100,53552,금연/금주/약물중독,51,의학,MEDICINE
101,53718,기타질병,51,의학,MEDICINE
102,53543,눈/코/입/귀,51,의학,MEDICINE
103,53544,당뇨병,51,의학,MEDICINE
104,53545,변비/치질,51,의학,MEDICINE
105,53553,비뇨기,51,의학,MEDICINE
106,53542,심장병,51,의학,MEDICINE
107,53546,암,51,의학,MEDICINE
108,53547,위장병,51,의학,MEDICINE
109,53554,정신질환,51,의학,MEDICINE
110,53548,중풍과 치매,51,의학,MEDICINE
111,53551,탈모,51,의학,MEDICINE
112,53549,피부병,51,의학,MEDICINE
113,53550,허리/디스크/척추/통증,51,의학,MEDICINE
116,53575,사진/비디오 촬영,66,사진술,PHOTOGRAPHY
118,53576,서예,64,서예,CALLIGRAPHY
121,53519,한의학,51,의학,MEDICINE
124,3057,경제학/경제일반,32,경제학,ECONOMICS
125,3059,경제사/경제전망,32,경제학,ECONOMICS
126,3060,세계 경제사/경제전망,32,경제학,ECONOMICS
127,3062,아시아 경제사/경제전망,32,경제학,ECONOMICS
128,3058,한국 경제사/경제전망,32,경제학,ECONOMICS
129,8586,경제이론/경제사상,32,경제학,ECONOMICS
130,3065,경제이야기,32,경제학,ECONOMICS
131,3140,경제정책/비평,32,경제학,ECONOMICS
136,274,무역,32,경제학,ECONOMICS
137,284,생산/품질/물류관리,32,경제학,ECONOMICS
138,8593,서비스/고객관리,32,경제학,ECONOMICS
140,282,조직/인력/성과관리,32,경제학,ECONOMICS
141,3069,e-비즈니스,60,예술,ARTS
151,2169,영업/세일즈,32,경제학,ECONOMICS
152,263,트렌드/미래예측,32,경제학,ECONOMICS
153,172,재테크/투자,32,경제학,ECONOMICS
154,141092,가상/암호화폐,32,경제학,ECONOMICS
155,11502,보험,32,경제학,ECONOMICS
156,175,부동산/경매,32,경제학,ECONOMICS
158,2225,재테크/투자 일반,32,경제학,ECONOMICS
159,174,주식/펀드,32,경제학,ECONOMICS
160,177,창업/취업/은퇴,32,경제학,ECONOMICS
161,3048,벤처/스타트업/인터넷창업,32,경제학,ECONOMICS
162,32828,은퇴설계,32,경제학,ECONOMICS
163,180,창업정보,32,경제학,ECONOMICS
164,249,취업정보,32,경제학,ECONOMICS
165,3049,CEO/비즈니스맨을 위한 능력계발,60,예술,ARTS
167,2408,기획/정보/문서관리,32,경제학,ECONOMICS
168,3101,성공학/경력관리,32,경제학,ECONOMICS
169,11503,시간관리,32,경제학,ECONOMICS
170,6189,화술/협상/프레젠테이션,32,경제학,ECONOMICS
171,76001,고등학교참고서,37,교육학,EDUCATION
172,77021,고등-문제집,37,교육학,EDUCATION
173,77129,과학탐구,37,교육학,EDUCATION
174,77125,국어영역,37,교육학,EDUCATION
175,77130,기타영역,37,교육학,EDUCATION
176,77128,사회탐구,37,교육학,EDUCATION
177,131522,수학영역,41,수학,MATHEMATICS
178,77127,영어영역,74,영어,ENGLISH
179,124815,한국사,37,교육학,EDUCATION
180,77027,고등영어전문교재,74,영어,ENGLISH
181,77028,단어/숙어,74,영어,ENGLISH
182,77030,독해/작문,74,영어,ENGLISH
183,77031,말하기/듣기,74,영어,ENGLISH
184,77029,문법,74,영어,ENGLISH
185,77032,NEAT(국가영어능력평가),74,영어,ENGLISH
186,77020,고등-자습서,37,교육학,EDUCATION
187,77135,과학,37,교육학,EDUCATION
188,77131,국어,37,교육학,EDUCATION
189,77136,기타,37,교육학,EDUCATION
190,77134,사회문화,37,교육학,EDUCATION
191,77133,수학,41,수학,MATHEMATICS
192,77132,영어,74,영어,ENGLISH
193,77026,고등학교 출판사별,37,교육학,EDUCATION
194,77045,개념원리수학,41,수학,MATHEMATICS
195,77331,개념원리_RPM(고등),41,수학,MATHEMATICS
196,77333,개념원리_기본서(고등),41,수학,MATHEMATICS
197,144621,9교시수학,41,수학,MATHEMATICS
198,148823,RPM HighQ,41,수학,MATHEMATICS
199,77050,꿈을담는틀,37,교육학,EDUCATION
200,123356,캐치-E,37,교육학,EDUCATION
201,113029,완성(고등),37,교육학,EDUCATION
202,113030,절대개념(고등),37,교육학,EDUCATION
203,115077,보카콕(고등),37,교육학,EDUCATION
204,115081,꿈틀고등,37,교육학,EDUCATION
205,131120,국어는꿈틀,37,교육학,EDUCATION
206,77308,모든것(고등),37,교육학,EDUCATION
207,77314,시크릿,37,교육학,EDUCATION
208,77316,수능클릭,37,교육학,EDUCATION
209,77317,엑설런트명강,37,교육학,EDUCATION
210,121574,명강,37,교육학,EDUCATION
211,155744,밥,37,교육학,EDUCATION
212,155745,고난도 신유형,37,교육학,EDUCATION
213,140038,기본완성,37,교육학,EDUCATION
214,140079,듀얼수학,41,수학,MATHEMATICS
215,77419,하이탑 과학(고등),37,교육학,EDUCATION
216,77420,뜯어먹는 영단어/숙어,37,교육학,EDUCATION
217,175849,빠작국어(고등),37,교육학,EDUCATION
218,149832,싸플(고등),37,교육학,EDUCATION
219,149833,날선유형 수학,41,수학,MATHEMATICS
220,149835,올쏘(고등),37,교육학,EDUCATION
221,149836,절대등급 수학,41,수학,MATHEMATICS
222,164681,날선유형 스타트,37,교육학,EDUCATION
223,164682,올쏘 내신강자,37,교육학,EDUCATION
224,164683,날선개념 수학,41,수학,MATHEMATICS
225,164684,수프림 영어,74,영어,ENGLISH
226,77035,동아출판,37,교육학,EDUCATION
227,77038,디딤돌,37,교육학,EDUCATION
228,90208,단권화,37,교육학,EDUCATION
229,155877,독해가 되는,37,교육학,EDUCATION
230,155878,듣기는 실전이다,37,교육학,EDUCATION
231,155879,실전특강,37,교육학,EDUCATION
232,155882,원포인트,37,교육학,EDUCATION
233,121968,단톡,37,교육학,EDUCATION
234,127588,미니모의고사,37,교육학,EDUCATION
235,122773,학평기출문제집,37,교육학,EDUCATION
236,155885,수능형 MP3,37,교육학,EDUCATION
237,155886,수능기출 문제집(까만책),37,교육학,EDUCATION
238,155887,수능기출 모의고사(빨간책),37,교육학,EDUCATION
239,186289,1등급 어휘력,37,교육학,EDUCATION
240,186290,수능기출 300제,37,교육학,EDUCATION
241,77048,마더텅,37,교육학,EDUCATION
242,77062,메가스터디북스,37,교육학,EDUCATION
243,155895,절대평가 큐,37,교육학,EDUCATION
244,172373,메가헤르츠 수학,41,수학,MATHEMATICS
245,178796,기출분석서,37,교육학,EDUCATION
246,122096,자격,37,교육학,EDUCATION
247,155891,개념백과,37,교육학,EDUCATION
248,155892,CPR 수학,41,수학,MATHEMATICS
249,155894,수능영단어,37,교육학,EDUCATION
250,79405,메가스터디 N제,37,교육학,EDUCATION
251,177803,EBS분석노트,37,교육학,EDUCATION
252,177804,예비기출분석서,37,교육학,EDUCATION
253,173593,메가실전모의고사,37,교육학,EDUCATION
254,106981,듣기모의고사,37,교육학,EDUCATION
255,157751,수력ON(고등),37,교육학,EDUCATION
256,87480,분석노트,37,교육학,EDUCATION
257,155890,변형N제,37,교육학,EDUCATION
258,147545,유형중심(고등),37,교육학,EDUCATION
259,147546,NEW올리드,37,교육학,EDUCATION
260,163595,수능주도권,37,교육학,EDUCATION
261,77413,올리드(고등),37,교육학,EDUCATION
262,79096,파사쥬,37,교육학,EDUCATION
263,113892,1등급만들기,37,교육학,EDUCATION
264,147553,손쉬운,37,교육학,EDUCATION
265,123329,N기출_수능,37,교육학,EDUCATION
266,135443,수학중심(고등),41,수학,MATHEMATICS
267,165046,룩(LOOK),37,교육학,EDUCATION
268,158841,올리드 시험직보(고등),37,교육학,EDUCATION
269,158842,그래머바이트(고등),37,교육학,EDUCATION
270,158843,리딩바이트(고등),37,교육학,EDUCATION
271,158844,워드바이트,37,교육학,EDUCATION
272,77037,미래엔,37,교육학,EDUCATION
273,77056,비상교육,37,교육학,EDUCATION
274,108539,한끝국어영역,37,교육학,EDUCATION
275,108540,한끝영어영역,74,영어,ENGLISH
276,108541,한끝사회탐구,37,교육학,EDUCATION
277,108543,고등과학,37,교육학,EDUCATION
278,108544,과학탐구,37,교육학,EDUCATION
279,162754,지금필수(고등),37,교육학,EDUCATION
280,77289,개념+유형(고등),37,교육학,EDUCATION
281,77290,오투과학(고등),37,교육학,EDUCATION
282,114027,단기특강,37,교육학,EDUCATION
283,162817,Full수록,37,교육학,EDUCATION
284,77286,완자(고등),37,교육학,EDUCATION
285,77287,내공의힘(고등),37,교육학,EDUCATION
286,77288,한끝(고등),37,교육학,EDUCATION
287,150358,만렙수학(고등),41,수학,MATHEMATICS
288,177997,완자기출픽,37,교육학,EDUCATION
289,77299,수학의정석_기본편,41,수학,MATHEMATICS
290,77301,수학의정석_실력편,41,수학,MATHEMATICS
291,77053,성지출판,37,교육학,EDUCATION
292,133744,XiP수학영역,41,수학,MATHEMATICS
293,143849,XiP사회탐구영역,37,교육학,EDUCATION
294,143850,XiP과학탐구영역,37,교육학,EDUCATION
295,132730,XiP영어영역,74,영어,ENGLISH
296,132731,XiP국어영역,37,교육학,EDUCATION
297,148841,최강적중 파이널,37,교육학,EDUCATION
298,118732,일등급수학(고등),41,수학,MATHEMATICS
299,119614,수력충전(고등),37,교육학,EDUCATION
300,133066,절대평가,37,교육학,EDUCATION
301,133067,결정적보카,37,교육학,EDUCATION
302,179268,자이 비문학 독해,80,문학,LITERATURE
303,77260,자이프리미엄,37,교육학,EDUCATION
304,124734,형상기억(고등),37,교육학,EDUCATION
305,161193,개념이지,37,교육학,EDUCATION
306,131524,바른개념수학,41,수학,MATHEMATICS
307,122318,키워드 국어,37,교육학,EDUCATION
308,79143,자이스토리,37,교육학,EDUCATION
309,179182,심플 자이스토리,37,교육학,EDUCATION
310,152131,문제로보카,37,교육학,EDUCATION
311,152132,고난도 1등급,37,교육학,EDUCATION
312,77063,수경출판사,37,교육학,EDUCATION
313,132725,Xi수학영역,41,수학,MATHEMATICS
314,132726,Xi영어영역,74,영어,ENGLISH
315,132727,Xi국어영역,37,교육학,EDUCATION
316,132732,Xi한국사,37,교육학,EDUCATION
317,132728,Xi사회탐구영역,37,교육학,EDUCATION
318,132729,Xi과학탐구영역,37,교육학,EDUCATION
319,150269,시대인재books,37,교육학,EDUCATION
320,150270,한완수,37,교육학,EDUCATION
321,150271,일격필살,37,교육학,EDUCATION
322,150272,이해원,37,교육학,EDUCATION
323,150273,포카칩,37,교육학,EDUCATION
324,166955,UAA&DCAF,37,교육학,EDUCATION
325,162929,폴라리스,37,교육학,EDUCATION
326,77070,쎄듀,37,교육학,EDUCATION
327,154493,올씀,37,교육학,EDUCATION
328,122778,PLAN A,37,교육학,EDUCATION
329,77240,천일문,37,교육학,EDUCATION
330,77241,어법/어휘끝,37,교육학,EDUCATION
331,77242,쎄듀 모의고사,37,교육학,EDUCATION
332,77243,첫단추,37,교육학,EDUCATION
333,77244,파워업,37,교육학,EDUCATION
334,157600,원샷영어,74,영어,ENGLISH
335,79614,아름다운샘,37,교육학,EDUCATION
336,114373,수학의샘,41,수학,MATHEMATICS
337,114375,아샘수학,41,수학,MATHEMATICS
338,114377,짱어려운수학,41,수학,MATHEMATICS
339,114379,짱중요한수학,41,수학,MATHEMATICS
340,79615,센터링수학,41,수학,MATHEMATICS
341,79616,짱쉬운수학,41,수학,MATHEMATICS
342,131078,Hi Math,37,교육학,EDUCATION
343,77277,숨마쿰라우데,37,교육학,EDUCATION
344,77278,미래로 수능 기출,37,교육학,EDUCATION
345,122536,굿비,37,교육학,EDUCATION
346,163582,미래로 하우투 수능,37,교육학,EDUCATION
347,163583,숨마쿰라우데 스타트업(고등),37,교육학,EDUCATION
348,163584,숨마쿰라우데 라이트수학,41,수학,MATHEMATICS
349,77061,이룸이앤비,37,교육학,EDUCATION
350,77033,이투스북,37,교육학,EDUCATION
351,114393,2주만에 끝내는,37,교육학,EDUCATION
352,122908,리딩마스터,37,교육학,EDUCATION
353,125222,지발선,37,교육학,EDUCATION
354,84875,리슨마스터,37,교육학,EDUCATION
355,119612,너.기.출,37,교육학,EDUCATION
356,119613,EBS완전학습,37,교육학,EDUCATION
357,84903,新수학의 바이블,41,수학,MATHEMATICS
358,77432,몽땅벗기기,37,교육학,EDUCATION
359,77439,워드마스터,37,교육학,EDUCATION
360,86814,531프로젝트,37,교육학,EDUCATION
361,134093,어삼쉬사,37,교육학,EDUCATION
362,134094,구문사고력,37,교육학,EDUCATION
363,134096,결정적시리즈,37,교육학,EDUCATION
364,175254,15분 모의고사,37,교육학,EDUCATION
365,175255,작전 모의고사,37,교육학,EDUCATION
366,175256,작전모의,37,교육학,EDUCATION
367,175257,쏙(SOC),37,교육학,EDUCATION
368,175258,파워크북 수학,41,수학,MATHEMATICS
369,175259,개념픽수학,41,수학,MATHEMATICS
370,175260,일단락 국어,37,교육학,EDUCATION
371,175261,BON 본 N제,37,교육학,EDUCATION
372,175262,BON 본,37,교육학,EDUCATION
373,175263,BON 본 내신,37,교육학,EDUCATION
374,140040,고쟁이 수학,41,수학,MATHEMATICS
375,77429,수학의바이블,41,수학,MATHEMATICS
376,113236,BOB바이블(고등),41,수학,MATHEMATICS
377,86815,국어,37,교육학,EDUCATION
378,86816,영어,74,영어,ENGLISH
379,86817,수학,41,수학,MATHEMATICS
380,77043,좋은책신사고,37,교육학,EDUCATION
381,176290,우공비Q 유형N제,37,교육학,EDUCATION
382,123482,쎈수학_개념쎈라이트(고등),41,수학,MATHEMATICS
383,77338,쎈수학(고등),41,수학,MATHEMATICS
384,77339,오감도,37,교육학,EDUCATION
385,77342,일품(고등),37,교육학,EDUCATION
386,77345,우공비(고등),37,교육학,EDUCATION
387,77347,컨셉영어,74,영어,ENGLISH
388,77351,진짜영문법,37,교육학,EDUCATION
389,77352,쎈수학_개념쎈(고등),41,수학,MATHEMATICS
390,77353,국어의기술,37,교육학,EDUCATION
391,129153,첫오감도,37,교육학,EDUCATION
392,178483,30일컷,37,교육학,EDUCATION
393,176643,쎈기출 연도별수능,37,교육학,EDUCATION
394,169490,초빈출,37,교육학,EDUCATION
395,106534,알수학,41,수학,MATHEMATICS
396,106535,한국사바로가기,37,교육학,EDUCATION
397,106530,다트,37,교육학,EDUCATION
398,161505,쎈수학_베이직,41,수학,MATHEMATICS
399,90570,꿀특강,37,교육학,EDUCATION
400,109804,쎈수학_라이트쎈(고등),41,수학,MATHEMATICS
401,123627,오감도최다문항,37,교육학,EDUCATION
402,164220,수능1교시,37,교육학,EDUCATION
403,157283,기본영어,74,영어,ENGLISH
404,157284,독해파헤치기,37,교육학,EDUCATION
405,178611,쎈기출0zero,37,교육학,EDUCATION
406,178612,진짜 기출,37,교육학,EDUCATION
407,178613,우공비Q 등급업N제,37,교육학,EDUCATION
408,152138,올킬,37,교육학,EDUCATION
409,152139,문.지.영,37,교육학,EDUCATION
410,181731,쎈기출 모의고사,37,교육학,EDUCATION
411,106995,단기공략,37,교육학,EDUCATION
412,157285,별보카(고등),37,교육학,EDUCATION
413,163194,쎈기출,37,교육학,EDUCATION
414,122617,it,45,지학,GEOLOGY
415,148662,개념있는,45,지학,GEOLOGY
416,148663,교과서수능,45,지학,GEOLOGY
417,148664,핵심큐,45,지학,GEOLOGY
418,148665,개념풀(고등),45,지학,GEOLOGY
419,148668,달달한한국사,45,지학,GEOLOGY
420,148669,수능어휘집,45,지학,GEOLOGY
421,77357,자습서,45,지학,GEOLOGY
422,77359,풍산자 수학,41,수학,MATHEMATICS
423,77366,꽉잡기,45,지학,GEOLOGY
424,77370,풍산자 필수유형,45,지학,GEOLOGY
425,77375,독서평설,45,지학,GEOLOGY
426,114316,평가문제집,45,지학,GEOLOGY
427,114293,기출의고백,45,지학,GEOLOGY
428,114295,단기특강,45,지학,GEOLOGY
429,151237,풍산자 라이트,45,지학,GEOLOGY
430,151238,풍산자 반복수학,41,수학,MATHEMATICS
431,176891,풍산자 일등급유형,45,지학,GEOLOGY
432,77042,지학사,45,지학,GEOLOGY
433,148666,Reading it,45,지학,GEOLOGY
434,148667,Listening it,45,지학,GEOLOGY
435,77034,진학사,37,교육학,EDUCATION
436,147655,블랙라벨_더개념,37,교육학,EDUCATION
437,147658,그림어원(수능),37,교육학,EDUCATION
438,77427,블랙라벨,37,교육학,EDUCATION
439,77089,창비(학습),37,교육학,EDUCATION
440,114919,창비자습서,37,교육학,EDUCATION
441,89134,창비수능국어,37,교육학,EDUCATION
442,89135,창비고등국어,37,교육학,EDUCATION
443,116644,수능 없다,37,교육학,EDUCATION
444,174764,짤강수학(고등),41,수학,MATHEMATICS
445,174765,수학의힘(고등),41,수학,MATHEMATICS
446,174766,리스닝 패러다임,37,교육학,EDUCATION
447,174767,100인의 지혜,37,교육학,EDUCATION
448,174768,고단백,37,교육학,EDUCATION
449,174769,뿌리뽑기(고등),37,교육학,EDUCATION
450,178094,하루수능,37,교육학,EDUCATION
451,178086,처음수능,37,교육학,EDUCATION
452,89635,기지개영어,74,영어,ENGLISH
453,133969,최강TOT수학(고등),41,수학,MATHEMATICS
454,77391,셀파해법수학,41,수학,MATHEMATICS
455,77397,셀파기본영어,74,영어,ENGLISH
456,77399,고등셀파,37,교육학,EDUCATION
457,77401,수능셀파,37,교육학,EDUCATION
458,77403,해법문학,80,문학,LITERATURE
459,131764,해결의법칙(고등),37,교육학,EDUCATION
460,135572,수학입문,41,수학,MATHEMATICS
461,177575,다품(고등),37,교육학,EDUCATION
462,185827,10일격파,37,교육학,EDUCATION
463,185825,셀파라이트,37,교육학,EDUCATION
464,177576,해법문학Q,80,문학,LITERATURE
465,182481,7일 끝(고등),37,교육학,EDUCATION
466,173368,내신꼭수학,41,수학,MATHEMATICS
467,173374,바로 VOCA(고등),37,교육학,EDUCATION
468,139468,빅터연산(고등),37,교육학,EDUCATION
469,114154,셀파수능결정적,37,교육학,EDUCATION
470,121726,수능Q&Q특강,37,교육학,EDUCATION
471,77039,천재교육,37,교육학,EDUCATION
472,177559,개념 해결의법칙,37,교육학,EDUCATION
473,177560,유형 해결의법칙,37,교육학,EDUCATION
474,177565,교과서 다품,37,교육학,EDUCATION
475,174747,내신 다품,37,교육학,EDUCATION
476,89557,키출판사,37,교육학,EDUCATION
477,89560,매3국어,37,교육학,EDUCATION
478,89562,매3영어,74,영어,ENGLISH
479,77051,한국학력평가원,37,교육학,EDUCATION
480,120240,수능끝판왕,37,교육학,EDUCATION
481,123959,기출패턴,37,교육학,EDUCATION
482,121727,연마수학,41,수학,MATHEMATICS
483,123159,출제원리에 맞춘,37,교육학,EDUCATION
484,123144,단마,37,교육학,EDUCATION
485,123146,단기완성,37,교육학,EDUCATION
486,114584,희망에듀,37,교육학,EDUCATION
487,114585,수능기출총정리,37,교육학,EDUCATION
488,114586,교과서수학,41,수학,MATHEMATICS
489,119889,시너지문제집,37,교육학,EDUCATION
490,77215,자습서(고등),37,교육학,EDUCATION
491,77216,내신평정(고등),37,교육학,EDUCATION
492,77081,NE능률,37,교육학,EDUCATION
493,175541,천문장,37,교육학,EDUCATION
494,108702,자습서/평가문제집,37,교육학,EDUCATION
495,87611,필통영문법,37,교육학,EDUCATION
496,131887,다빈출코드,37,교육학,EDUCATION
497,174200,EBS변형문제,37,교육학,EDUCATION
498,77217,The상승,37,교육학,EDUCATION
499,77218,수능만만,37,교육학,EDUCATION
500,77219,리딩엑스퍼트,37,교육학,EDUCATION
501,77209,리딩튜터,37,교육학,EDUCATION
502,77210,빠른바른독해,37,교육학,EDUCATION
503,77211,리스닝튜터,37,교육학,EDUCATION
504,77212,능률보카,37,교육학,EDUCATION
505,77213,맞수,37,교육학,EDUCATION
506,155750,올클,37,교육학,EDUCATION
507,155752,그래머존,37,교육학,EDUCATION
508,155753,문마고,37,교육학,EDUCATION
509,155754,얇고빠른,37,교육학,EDUCATION
510,155756,내신100신,37,교육학,EDUCATION
511,155759,수능유형PICK,37,교육학,EDUCATION
512,123058,기강잡고,37,교육학,EDUCATION
513,110333,특급,37,교육학,EDUCATION
514,152406,하이엔드,37,교육학,EDUCATION
515,131179,스코어,37,교육학,EDUCATION
516,77024,논술/면접/수시,37,교육학,EDUCATION
517,77108,구술면접,37,교육학,EDUCATION
518,129706,논술정기간행물(고등),37,교육학,EDUCATION
519,77109,대입논술,37,교육학,EDUCATION
520,77107,수시적성,37,교육학,EDUCATION
521,86623,울산대,37,교육학,EDUCATION
522,87510,금오공과대,37,교육학,EDUCATION
523,87511,평택대,37,교육학,EDUCATION
524,87534,안양대,37,교육학,EDUCATION
525,87540,서강대,37,교육학,EDUCATION
526,88708,이화여대,37,교육학,EDUCATION
527,87597,호서대,37,교육학,EDUCATION
528,87478,한밭대,37,교육학,EDUCATION
529,87054,동덕여대,37,교육학,EDUCATION
530,127364,삼육대,37,교육학,EDUCATION
531,111577,부산대,37,교육학,EDUCATION
532,111911,서울시립대,37,교육학,EDUCATION
533,111912,덕성여대,37,교육학,EDUCATION
534,111913,서울여대,37,교육학,EDUCATION
535,86082,연세대,37,교육학,EDUCATION
536,77137,_통합편,37,교육학,EDUCATION
537,77138,가천대,37,교육학,EDUCATION
538,77139,가톨릭대,37,교육학,EDUCATION
539,77140,강남대,37,교육학,EDUCATION
540,77141,강원대,37,교육학,EDUCATION
541,77142,건국대,37,교육학,EDUCATION
542,77143,경기대,37,교육학,EDUCATION
543,77144,경북대,37,교육학,EDUCATION
544,77145,경성대,37,교육학,EDUCATION
545,77146,경원대,37,교육학,EDUCATION
546,77147,경희대,37,교육학,EDUCATION
547,77148,고려대,37,교육학,EDUCATION
548,77149,광운대,37,교육학,EDUCATION
549,77150,단국대,37,교육학,EDUCATION
550,77151,명지대,37,교육학,EDUCATION
551,77152,서경대,37,교육학,EDUCATION
552,77153,서울과학기술대,37,교육학,EDUCATION
553,77154,성결대,37,교육학,EDUCATION
554,77155,성균관대,37,교육학,EDUCATION
555,77156,세종대,37,교육학,EDUCATION
556,77157,수원대,37,교육학,EDUCATION
557,77158,숙명여대,37,교육학,EDUCATION
558,77159,아주대,37,교육학,EDUCATION
559,77160,을지대,37,교육학,EDUCATION
560,77161,인하대,37,교육학,EDUCATION
561,77162,중앙대,37,교육학,EDUCATION
562,77163,한국기술교육대,37,교육학,EDUCATION
563,77164,한국산업기술대,37,교육학,EDUCATION
564,77165,한국외국어대,37,교육학,EDUCATION
565,77166,한국항공대,37,교육학,EDUCATION
566,77167,한성대,37,교육학,EDUCATION
567,77168,한신대,37,교육학,EDUCATION
568,77169,한양대,37,교육학,EDUCATION
569,77170,홍익대,37,교육학,EDUCATION
570,111963,동국대,37,교육학,EDUCATION
571,87450,대진대,37,교육학,EDUCATION
572,120730,항공대,37,교육학,EDUCATION
573,77110,입시자료집,37,교육학,EDUCATION
574,77111,입학사정관/자기소개서,37,교육학,EDUCATION
575,77022,수능대비,37,교육학,EDUCATION
576,77123,과학탐구,37,교육학,EDUCATION
577,77119,국어영역,37,교육학,EDUCATION
578,77124,기타영역,37,교육학,EDUCATION
579,77122,사회탐구,37,교육학,EDUCATION
580,77120,수학영역,41,수학,MATHEMATICS
581,77121,영어영역,74,영어,ENGLISH
582,124816,한국사,37,교육학,EDUCATION
583,77023,수능모의고사/기출,37,교육학,EDUCATION
584,77117,과학탐구,37,교육학,EDUCATION
585,77113,국어영역,37,교육학,EDUCATION
586,77118,기타영역,37,교육학,EDUCATION
587,77116,사회탐구,37,교육학,EDUCATION
588,77114,수학영역,41,수학,MATHEMATICS
589,77115,영어영역,74,영어,ENGLISH
590,124817,한국사,37,교육학,EDUCATION
591,77025,학습자료,37,교육학,EDUCATION
592,77106,공부자료,37,교육학,EDUCATION
593,84906,기타,37,교육학,EDUCATION
594,77441,EBS 고등,37,교육학,EDUCATION
595,77443,_고1,37,교육학,EDUCATION
596,77444,_고2,37,교육학,EDUCATION
597,77445,_고3,37,교육학,EDUCATION
598,156738,3주/4주특강,37,교육학,EDUCATION
599,140744,개념완성,37,교육학,EDUCATION
600,160143,고난도시크릿X,37,교육학,EDUCATION
601,77463,고등예비과정,37,교육학,EDUCATION
602,130619,국공따,37,교육학,EDUCATION
603,132040,국어독해의원리,37,교육학,EDUCATION
604,132693,국어문법의원리,37,교육학,EDUCATION
605,131959,기출의미래,37,교육학,EDUCATION
606,174495,뉴수능스타트,37,교육학,EDUCATION
607,150821,단기특강 길잡이,37,교육학,EDUCATION
608,89943,만점마무리,37,교육학,EDUCATION
609,162309,수능감(感)잡기,37,교육학,EDUCATION
610,132577,수능연계교재VOCA,37,교육학,EDUCATION
611,77461,수능완성,37,교육학,EDUCATION
612,186923,수능완성 사용설명서,37,교육학,EDUCATION
613,178753,수능의 7대함정,37,교육학,EDUCATION
614,77456,수능특강,37,교육학,EDUCATION
615,153256,수능특강 사용설명서,37,교육학,EDUCATION
616,181138,수능특강 연계기출,37,교육학,EDUCATION
617,110069,수능특강 Light,37,교육학,EDUCATION
618,180299,수능특강Q,37,교육학,EDUCATION
619,162718,수학의왕도,41,수학,MATHEMATICS
620,87913,올림포스,37,교육학,EDUCATION
621,140748,올림포스 고난도,37,교육학,EDUCATION
622,140749,올림포스 닥터링,37,교육학,EDUCATION
623,175607,올림포스 전국연합,37,교육학,EDUCATION
624,128160,파이널 실전모의고사,37,교육학,EDUCATION
625,132036,English Power,37,교육학,EDUCATION
626,161902,2020EBSi,37,교육학,EDUCATION
627,175960,2021EBSi,37,교육학,EDUCATION
628,151062,2019EBSi,37,교육학,EDUCATION
629,77450,i강의노트,37,교육학,EDUCATION
630,2105,고전,80,문학,LITERATURE
631,2330,경제학고전,32,경제학,ECONOMICS
632,4527,고사성어/속담,70,언어,LANGUAGE
633,2094,고전에서배운다,80,문학,LITERATURE
634,2344,과학고전,80,문학,LITERATURE
635,2310,군사고전,80,문학,LITERATURE
636,2095,다시쓴고전,80,문학,LITERATURE
637,2123,동양고전문학,80,문학,LITERATURE
638,4378,기타 동양고전,80,문학,LITERATURE
639,4655,중국고전-산문,80,문학,LITERATURE
640,12390,중국고전-시가,80,문학,LITERATURE
641,2124,동양고전사상,80,문학,LITERATURE
642,4438,기타 동양고전사상,80,문학,LITERATURE
643,4437,도가사상,80,문학,LITERATURE
644,4436,유가사상,80,문학,LITERATURE
645,2125,서양고전문학,80,문학,LITERATURE
646,2149,서양고대문학,80,문학,LITERATURE
647,2314,서양근대문학,80,문학,LITERATURE
648,2138,서양중세문학,80,문학,LITERATURE
649,222,서양현대고전,80,문학,LITERATURE
650,2126,서양고전사상,80,문학,LITERATURE
651,2121,우리나라 옛글,80,문학,LITERATURE
652,4440,산문,80,문학,LITERATURE
653,4441,시가,80,문학,LITERATURE
654,7459,위대한 작가들,80,문학,LITERATURE
655,987,과학,40,자연과학,NATURAL_SCIENCE
658,51355,기계공학,53,기계공학,MECHANICAL_ENGINEERING
661,51361,화학공학,43,화학,CHEMISTRY
663,51007,과학사회학(STS),40,자연과학,NATURAL_SCIENCE
664,51005,과학의 이해,40,자연과학,NATURAL_SCIENCE
665,51160,과학고전,80,문학,LITERATURE
666,51095,과학사/기술사,40,자연과학,NATURAL_SCIENCE
667,51098,과학사상,40,자연과학,NATURAL_SCIENCE
668,51183,과학전문사전,40,자연과학,NATURAL_SCIENCE
669,51187,동양과학,40,자연과학,NATURAL_SCIENCE
670,51189,정신과학,40,자연과학,NATURAL_SCIENCE
